Startup Speech,Completion Score
"© Kickfolio   1.2 million apps. Billions spent getting downloads.  Static Screenshots Recorded Video   eID   EZ] one Week in, Vine Could Be Twice As Big =a AsSocialcam    3000  2000+ signups in 6 weeks  2250  Deets Deez ec29 Jans Jan?  “  can’t believe you guys have achieved this!” - Emillien  “You should be under ‘disruptive’ in the dictionary” - Norman  “Wow. Kickfolio is really sweet. Shut up and take my money.” - Clay  “We were trying to figure out how it worked! At this point elves or voodoo are contenders.” - Paschal  “We were trying to figure out how it worked! At this point elves or voodoo are contenders.” - Paschal  Perey kickfolio  How Does X Work?:  How does Kickfolio work in simulating iOS apps?    recently came across kick'olio (Hor hich allows you to test out OS apps in your browser.  How are they able to simulate iOS apps in your browser?   We're Raising  $500,000  $275k committed    © Kickfolio  founders@kickfolio.com angel.co/kickfolio",34
"FITTR SUMMARIZED  Fittr is a workout generator that takes in users equipment access, time commitment, and goals for working out. After taking in this info, Fittr uses a GPU supercomputing Cluster to create a great individualized workout plan.  With the extensive database of exercises and exercise variants, Fittr has millions of workout possibilities allowing for a unique workout for every member. Fittr tracks members as they go and creates graphs to show improvement and then rewards members with trophies to show accomplishment   GAME CHANGING TECHNOLOGY THE NEW AGE OF SAAS  Fittr not only creates great workouts, it learns from users data and then makes better workouts, making it one of the most unique A. . systems ever   SOCIAL FEATURE FOR USERS TO STAY ON TRACK  Fittr has a unique accountability tool that tells users’ friends when they skip a workout as well as group features and trophies to keep motivated.   $0 TOWNSEND TYLER PERKINS NOLAN PERKINS  DEVELOPER CEO DESIGNER   SPENDING HOURS MAKING A PLAN IS NOT THE WAY TO GO  It takes hours to make a great workout plan and more often than not, that plan is not the best for that individual Fittr takes into account equipment access, time commitment, and goals to give the perfect plan.   PERSONAL TRAINERS ARE EXPENSIVE!  The prices per hour vary from $25 all the way to $75 an hour. When you figure that you should be working out at least 3 days a week and that there is generally 4 weeks in a month, the prices for a trainer come out to over $300/month.  $25/ HOUR   $2.3,B TO BE Bl IN TRAINING IN 2012  .2% INCREASE COMPETITION SINCE 2007  ‘i FITNESS_. 1.5m WorKOUTS BUILT  i Fr Ri 600,000+ USERS $14,611,200 “rn ™ INCREASE ""> ~ 50,000 DOWNLOADS IN FIRST 30 DAYS  FITTR CRUSHES THE COMPETITION  By having great social features  and an incredibly advanced process to make workouts, Fittr will bring better results to members that is unmatched.   UNLIMITED 2 WEEKS FREE  MONTH TO MONTH 6-MONTH PRE-PAID  $8.99... $5.49...  RAISING $250,000  INVESTMENT GOAL  ® SEO Campaign ® Hire developer for future features   Targeted Advertising   Sporting team workout databasing © Server Costs   Android App  © Create nutitional plans  Profitibility within 1 year  TYLER PERKINS TYLER@FITTR.COM    Zi  READY TO #CHANGE YOUR LIFE? WE'RE READY TO HELP YOU GET #FITTR  From novi to pra, ip you achieve your fitness goals  _ GET FITTR TODA",51
"& TCaLeT  THE WORLD'S MARKETPLACE FOR EXCLUSIVE TEAS   WE’VE SOLD  100,000  CUPS OF TEA IN 20+ COUNTRIES    20 GROWERS  9 COUNTRIES  ,@  WE SPECIALIZE IN ax HAWAII] GROWN TEA    STARBUCKS ACQUIRED TEAVANA FOR $620M  current Distribution ~  a 2228 as ee ; TEA ee  ABSORBED es VALUE att 2 2  GROWER MARGIN "" . 85% 4 y  CORPORATE NETWORK  gee “HIGH QUALITY “ REVENUE § oe é j Yee . A0%) MARKET GROWER MARGIN "" A ff ONLINE MARKETPLACE  HIGHER TEALET RETAINS PROFITS--- 40'%  FOR THE GROWER MARGIN ON ALL TRANSACTIONS   Marke VISIBILITY     ee ie a eae CULTeNnTLY stasis aiteeciec RAISING  os  INCREASE SCALE INTERNATIONAL SUPPLY MARKETS  ae : LETS Have Tea! ee ieee  § -@TEALETTEA & ~-TEALET.COM   CREATED BY: -",33
"“There has to be a better way!”  task:ly  ;3 problems.   Task management takes too much time.  task:ly  Everyone has a unique workflow  task:ly  Writing down is not enough.  task:ly  Less time.  Se C5  task:ly  work © aro contrere ea wh 8 5 ine fern a conoary  homea=a  gee Paramore concn cats  © esate ae tr cn   Any workflow. “) & “- =n - API &S  task:ly  Any workflow.  Any workflow. io BG  task:ly   Yep cnn se Ho aac   Uber easy to use.  Supports any workflow.  Actually helps to get things done.  task:ly  task:ly  Where will users come from.  NS Public relations  aL FP  98@ Social graph Ly Word of mouth task:ly  Revenues.  Freemium!  free $4 50 tasks/mo unlimited  task:ly   The Team.  Roman Kutanov Dmitry Gorshkov (tech) (design, business) @kutanov @fdeth  task:ly  Our works.   Our works. ‘AKL FragFeed  REWO TART! PRINT  _IRock s 2009  As  task:ly  Currently.  tin  2009—2010 task:ly  We aim for the West.  f  task:ly  The industry likes us.  Finalist.  task:ly    me say  http://task.ly hello@task.ly  G @taskly",38
"ENABLING WORD OF MOUTH MARKETING ON SOCIAL MEDIA  . jr   Ashton  Winfrey Kutcher ._.  @oprah @aplusk 19,708,064 14,469,285 FOLLOWERS: FOLLOWERS s os >      LACK TOOLS  TO MANAGE CAMPAIGNS  aa Ss = 2 a Eo CREATE A INTERESTED QUICK & EASY RESULTS! CAMPAIGN INFLUENCERS ENGAGEMENT RESULTS!  APPLY RESULTS!    AUDIENCE REACHED ~     $8,500  March  S60  ea  ‘",32
"lawachroc  we get users  @getlaunchrock angel.co/launchrock  fans Getting DRS customers  is hard  lawnachrock  lawnachrock  lawnachrock  3,000+, customers  lawnachrock  STYLEMINT  Mary-Kate Olsen and Ashley Olsen.  eer cora ep amtt en gnu  woylovnchrock  Coke} ‘StyleMint - An exclusive t-shirt collection designed by Mary-Kate Olsen and Ashley Olsen.   Launched all sorts of things  STYLEMINT Zaarly beachmint  ¥ Olsen Twins’ t-shirt line  ¥ Private airline  2 Hair products Bs) taskrabbit,& ™ Independent film ie ay  FLASH MOR ‘» Musicians  startups  lawnachrock  We’ve learned that...  People share... Our customers love...   Things that resonate ¢ Amplification   To raise status © Higher conversion rate   For collective experience Our customers want...   To exchange value ¢ User insights    Robust communication solution  lawnachrock  Q Geo me  Search Social Networks — Relationshi  Web 1.0 ‘Web 2.0 & Beyond  lawnchrock   Marketing  Social Insi  lawnachrock  Jameson Detweiler ; = CEO  Sean McCullough Chief System Architect & Engineer  e @ Zachary Melamed  § Lead Developer  } Thomas Knoll /} ) Chief of Product & Relationships  lawnachrock  Investors  500 500 Startups  SRORLUES Gave Mecive & Cw  Paige Craig  CeO a erates  David Tisch  aang eet 0 Teh  Scott Becker    2   Paul Bricault x Patra teen  Mike Edwards  Fag Paes tie  gE David Famolari ie  Venture51  ety Se a ern)  Dharmesh Shah Faure ssp  Ryan Holmes  ce ethane  Diego Berdakin  Stephen Gill  anecten 8 incom  Adrian Stone ogi Co Fer  Daniel Wolfson Wotan Grip  Advisors  Nicole Patrice Johnson 0 Speci Project at Fonda Fans  Stephen Gill  Pectin 8 aacorics  Gabriel Weinberg  H Ryan Holmes  @) <silk  lawnchrock  Raising Big BUCK$  jameson@launchrock.com angel.co/launchrock  SS Cockchrocte=",48
"If Zuckerberg Built SAP  Mark Kofman, founders@300.mg http://300.mg, http://angel.co/300-mg  @300milligrams   @300milligrams    ‘W 300.mg  Gmail  @300milligrams   ‘W 300.mg @300milligrams   ‘9 500.mg @300milligrams   @300milligrams  Too Many Cloud Services  W 300.mg @300milligrams  las  neon  All Work On One Dashboard  ‘W 300.mg @300milligrams  Stuff Mark Is Working On:  [gy Pitching notes fm Dome day pitch script  fe Ft Pitch Prop  [F11] Signup Sheet for Pitch Practices  4, Start Fund    All Work On One Dashboard  W 300.mg @300milligrams  Mark Works With  All Work On One Dashboard  W 300.mg @300milligrams  las  neon  All Work On One Dashboard  @300milligrams  A+vcaoeGe@  ‘ 300.mg  Google Docs Dropbox Backpack Basecamp Highrise Pivotal Tracks = 31   ’e SS) GitHub Google Salesforce Angellist  Calendar  Coming Soon: 2 Days Per Service Gmail @evernore Rzendesk Confluence  asana: @Goosle [7p @ SUGARCRM.  Work Graph  @300milligrams  8 S00.mg. @300milligrams Beta Users  Network Effect  @300milligrams  1,000+ USERS   @300milligrams  1,000+ USERS 16% REFER TO   @300milligrams  1,000+ USERS 16% REFER TO 20,000 COLLABORATORS   @300milligrams  1,000+ USERS  16% REFER TO 20,000 COLLABORATORS 3,500,000 DOCS, TASKS....  e =) a. '®  >)  Kick-A iy Team A teal PEL G  Lis Mark Anton Jevgeni The Designer The Hustler The Hacker The Hacker  Founders: Mark Kofman and Anton Litvinenko 3rd startup, first cash exit at age 22  ay  Super-Hero Advisors  eon SS  YeeLee Tim Young Ross Mayfield, Googles SocialCast_ —_SlideShare  300.mg  1 500.ng. @300milligrams  50M+  Addressable Users  300.mg @300milligrams  50M+  Addressable Users  x $10 - $6B  Month  8 300.mg @300milligrams  800M+  Potential Users  50M+  Addressable Users  x $10 - $6B  Month  i 300.mg @300milligrams  RAISING $500,000  Yee Lee Andrei Korobeinik Paul Singh Dave McClure   Thank You!  Mark Kofman, founders@300.mg http://300.mg, http://angel.co/300-mg",42
"VOLTA  CALL YOUR CUSTOMERS, MAKE MORE MONEY  @getvolta angel.co/volta  Voita  Lightweight CRM For Phone Centric Businesses   - Which customers do I call?  - When do I call them?  - No call queue across departments and staff  - When people call back, no idea who they are  - Existing CRMs don’t work well with the phone  @getvoita  Call Customers: +. with expired credit cards who don’t upgrade free trial in the middle of a support ticket «. Sales reps need to manage their calls  «= this list goes on and on and on  @getvoita  153 evry Road P.O, Box 1298  880 ean aay  64 impailOive  Hor Weeham Ml Ro  2s Beers   Inbound or Outbound  @getvoita  - API to trigger phone calls to be added to queues  @getvoita  - API to trigger phone calls to be added to queues  PSD Lud  @getvoita  - API to trigger phone calls to be added to queues  oe => o =>  @getvol  Billing  OO  Make these calls today...    @getvoita   Lalsio}ela)y)s.«tu) Bagccoo0s   eS fe Cat Compete Cal Complete ‘at Comite  = — = —s OOGHuu wilde jolw]elalr] yu 1o}P      - Single-click plugins: force DPipeiump Geaacrm Oh shopify @Assistly Mzendesk useroices3 MI Magento Gmail ""YAHOO! mait ES bitiok yelpss  @getvoita  Replace phone number with one line of javascript  @getvoita  San Francisco, CA  Debt Consolidation San Francisco CA (42)   @getvoita  Per Minute + Per User  $99/Month - 5 Users / 1,000 Minutes $249/Month - 10 Users / 5,000 Minutes $699/Month - 25 Users / 15,000 Minutes  @getvoita  Patrick Stockwell [XK Yuriy Omelchuck  Founder Engineer Successtl internet entrepreneur  since 1997 ac  Michael Hoisie   Fuad Bin Omar Engineer Project Manager YC, Mlersote, Serbd, Berkeley 88/Comp Sel - Khulna University  MBA/Finance - Dhaka University      Fattahul Alam  Engineer 85/€omp Sel ~ Khulna University   $500K  - Expand local engineering team - Business development - Grow Volta  @getvoita  twitter.com/getvolta angel.co/volta  patrick@getvolta.com",46
pinmypet   founders@pinmypet.com » angel.co/pinmypet   « 0ST Dg   LOST DOG.    CALL 555-5555   founders@pinmypet.com ~ angel.co/pinmypet   lees GO MISSING EVERY YEAR  founders@pinmypet.com » angel.co/pinmypet  WAN O /othee   founders@pinmypet.com » angel.co/pinmypet  ( cuaneer 20 DAYS}  °6 PROOF  - —  founders@pinmypet.com » angel.co/pinmypet   founders@pinmypet.com » angel.co/pinmypet  Cu BY Q {MILLION  } PETS SUFFER FROM OBESITY    od DOGS & CATS USA  S AND BR REVENUE    Ednaldo Souza  i  Bruno Souza  Marcos Buson  Microsoft Innovation Center Mobile Premier Awards 2013 Hackers since 12 years old  Pet Lovers  Daniel Taci  founders@pinmypet.com » angel.co/pinmypet  790K  founders@pinmypet.com  incorporated as PinAll Corporation a Delaware C-Corp,27
"Dwolla allows anything connected to the internet to move money quickly, safely, and at low cost.  5°  >  GROWING RAPIDLY BECAUSE OF MANY USE CASES   HOW DID WE GET HERE?  Dwolla was started as a direct result of a problem encountered by its founder: the pain of paying $50,000+ a year in credit card fees. in 2008 Ben Milne set  out to fix the problem and Dwolla was born.  Ben Milne, Founder & CEO  ‘Started his frst manutacturing company at 18, bootstrapped the company to 1M + In revenue with operations in tho US and Asia.  ‘Sold the company to concentrate on bulging the Dwolla network  Leads overall company vision, technology, product strategy and marketing  Charise Flynn, COO  ‘Graduated magna cum laude trom Simpson College with degrees in Philosophy and Rebgon © ee  Started career in real estate development by building and managing over $100NM in real estata assets in ls than vo yoars.  ‘ult consulting company, asus, which focused on working with east comeanesounders 2 a  Joined Dwolla in 200 and leads operations including legal, finance, business ‘evelopment, human resources, and customer suppor.  How Cards Work   THE PROBLEM WITH PAYMENTS  EXPENSIVE (“ASSET-HEAVY”)  + Merchants shell out ~$40-$50 billion a year to process credit/debit card payments. Does not include hardware, hidden fees, etc.    Innovation can only happen on top of the network, which increases cost rather than reducing cost.    Legacy payment options such as ACH and check are layered with administrative and operational costs that businesses, individuals, financial institutions and govemments have to bear the cost of.    Micro-transactions are cost-prohibitive.  SLOW/ACCESSIBILITY    Check and ACH can take 3-15 days to get from senders’ to receivers’ bank account.    Dependent on bank holidays, ATM availability  THE PROBLEM WITH PAYMENTS  FRAUD HEAVY    Credit and debit expose 16-digit card numbers, can be copied, Photographed, or written down (i.e. “data exhaust’)    Check and ACH ex; se into, 5 veriti  ded to make unauth debits to ggunt, no inherent  nee: riz ation or validation protocols embecded in  CLOSED & RIGID    No inherently open payment network for third-party development, not Web 2.0-contpatible au sf    Fragmented interests across spectrum, no true end-to-end solution in    Silo'd transaction combinations (e.g. cards are not p2p friendly, can’t use bank-to-bank networks to buy coffee) BANK-CENTRIC    Perpetuates increasingly regulated, endangered revenue streams for banks (see: Durbin Amendment, Bank of America checking fee backlash   How Dwolla Works  consumer on   End-to-End Solution  za xa o- —= ea  Pe  Under the hood  + Consumer (Dwolla branded) Engine. + FiSync (Real Time Gross Settlement - white label) Engine. + End to End fraud control Siaehst SSeS  By Secret Sauce  Cool, technical sounding stuff goes here   LOW COST “ASSET-LIGHT”    Cuts expensive credit card fees out of the equation by bypassin, existing card networks. ba tater)  + $.25/transaction fee model is cheaper than credit cards or mailing/ processing check payments.  + Free micro-transactions (under $10) unlock new profit-making innovations, services, and markets  FAST/ACCESSIBLE + Faster than mailing a check, pre-loaded funds move in real time   FiSyne Technology i fst realtime gross settlement (RTGS) system in  + Use with any web-enabled device  SAFER & PRIVACY FOCUSED    Guards sensitive financial information, never discloses this data inside transactions or devices.    Privacy innovations, like “Add/Remove Features” revoke access to third-party applications  OPEN-LOOP & END-TO-END   Dwolla API allows distributes network and third-party innovation    With Fisyne, Dwolla streamlines payments from user bank account-to-user bank account    Agnostic to payment type (le. p2p, b2b, c2b, b2c, g2b, beg, et.) or a  BANK-FRIENDLY, CONSUMER-CENTRIC     FiSyne provides banks and credit unions with dynamic value-added product and services opportunities  OPPORTUNITY FOR DWOLLA IN US MARKET  + ~$40T exchanged through ACH  + ~$600T in wire payments    ~400 Million direct deposit accounts  + ~$2T annually exchanged on plastic cards  + 98% of economic activity is completed via non-cash payments  OPPORTUNITY FOR DWOLLA GLOBALLY    incomprehensible number of payment volume, amounts.   2.5B+ unbanked    2.4B+ Internet users    1.1B smartphone subscribers   2013 Hiring/Expansion Plan  Key Hires: + Product + Marketing + Business Development + Developers aa 2019 Total team counts: &, + Leadership: 8   Tech: 29   Community Support: 10 + Business Development: 8 + Product/Design: 6 + Risk/Compliance: 4 + Marketing: 3 + Misc: 2 Expansion   West Coast office in SF  C) 70 i Ener a Se  References   DWOLLA.COM  (S) The best way to move money",53
,s
  ,
